id,name,slug,state,county,description,population,coordinates,meta_title,meta_description,created_at
3,Folsom,folsom,CA,Sacramento County,"Folsom, known for its historic district, beautiful lake, and high-quality lifestyle, is a sought-after community in the Sacramento metropolitan area. Residents value professional handyman services to maintain their homes and preserve the city's charm.",81328,"{""lat"": 38.6779, ""lng"": -121.176}","Professional Handyman Services in Folsom, CA | Expert Home Repairs","Expert handyman services in Folsom. From home repairs to improvements, we deliver quality workmanship and reliable service.",2025-01-30 21:00:30.52514+00
52,Foothill Farms,foothill-farms,CA,Sacramento,"Find professional handyman services in Foothill Farms, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Foothill Farms, CA","Professional handyman services available in Foothill Farms, California",2025-01-30 23:33:37.514411+00
37,Galt,galt,CA,Sacramento,"Find professional handyman services in Galt, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Galt, CA","Professional handyman services available in Galt, California",2025-01-30 23:33:33.053328+00
30,Georgetown,georgetown,CA,Sacramento,"Find professional handyman services in Georgetown, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Georgetown, CA","Professional handyman services available in Georgetown, California",2025-01-30 23:33:30.919773+00
51,Gold River,gold-river,CA,Sacramento,"Find professional handyman services in Gold River, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Gold River, CA","Professional handyman services available in Gold River, California",2025-01-30 23:33:37.227781+00
63,Herald,herald,CA,Sacramento,"Find professional handyman services in Herald, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Herald, CA","Professional handyman services available in Herald, California",2025-01-30 23:33:40.922763+00
66,Hood,hood,CA,Sacramento,"Find professional handyman services in Hood, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Hood, CA","Professional handyman services available in Hood, California",2025-01-30 23:33:41.858188+00
38,Isleton,isleton,CA,Sacramento,"Find professional handyman services in Isleton, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Isleton, CA","Professional handyman services available in Isleton, California",2025-01-30 23:33:33.345658+00
56,La Riviera,la-riviera,CA,Sacramento,"Find professional handyman services in La Riviera, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in La Riviera, CA","Professional handyman services available in La Riviera, California",2025-01-30 23:33:38.743844+00
55,Lemon Hill,lemon-hill,CA,Sacramento,"Find professional handyman services in Lemon Hill, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Lemon Hill, CA","Professional handyman services available in Lemon Hill, California",2025-01-30 23:33:38.413044+00
20,Lincoln,lincoln,CA,Sacramento,"Find professional handyman services in Lincoln, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Lincoln, CA","Professional handyman services available in Lincoln, California",2025-01-30 23:33:27.909391+00
39,Loomis,loomis,CA,Sacramento,"Find professional handyman services in Loomis, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Loomis, CA","Professional handyman services available in Loomis, California",2025-01-30 23:33:33.677245+00
36,Marysville,marysville,CA,Sacramento,"Find professional handyman services in Marysville, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Marysville, CA","Professional handyman services available in Marysville, California",2025-01-30 23:33:32.754778+00
60,Mather,mather,CA,Sacramento,"Find professional handyman services in Mather, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Mather, CA","Professional handyman services available in Mather, California",2025-01-30 23:33:40.012988+00
61,McClellan Park,mcclellan-park,CA,Sacramento,"Find professional handyman services in McClellan Park, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in McClellan Park, CA","Professional handyman services available in McClellan Park, California",2025-01-30 23:33:40.340922+00
46,North Highlands,north-highlands,CA,Sacramento,"Find professional handyman services in North Highlands, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in North Highlands, CA","Professional handyman services available in North Highlands, California",2025-01-30 23:33:35.752317+00
48,Orangevale,orangevale,CA,Sacramento,"Find professional handyman services in Orangevale, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Orangevale, CA","Professional handyman services available in Orangevale, California",2025-01-30 23:33:36.341766+00
54,Parkway,parkway,CA,Sacramento,"Find professional handyman services in Parkway, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Parkway, CA","Professional handyman services available in Parkway, California",2025-01-30 23:33:38.083785+00
23,Placerville,placerville,CA,Sacramento,"Find professional handyman services in Placerville, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Placerville, CA","Professional handyman services available in Placerville, California",2025-01-30 23:33:28.828093+00
28,Pollock Pines,pollock-pines,CA,Sacramento,"Find professional handyman services in Pollock Pines, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Pollock Pines, CA","Professional handyman services available in Pollock Pines, California",2025-01-30 23:33:30.31588+00
5,Rancho Cordova,rancho-cordova,CA,Sacramento County,"Rancho Cordova, a dynamic city in the Sacramento metropolitan area, is known for its business parks, residential communities, and recreational opportunities. Local homeowners rely on professional handyman services to maintain their properties and improve their homes.",75087,"{""lat"": 38.589, ""lng"": -121.3028}","Professional Handyman Services in Rancho Cordova, CA | Expert Home Repairs",Professional handyman services in Rancho Cordova. Quality home repairs and maintenance from our experienced team.,2025-01-30 21:00:30.52514+00
58,Rancho Murieta,rancho-murieta,CA,Sacramento,"Find professional handyman services in Rancho Murieta, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Rancho Murieta, CA","Professional handyman services available in Rancho Murieta, California",2025-01-30 23:33:39.389787+00
49,Rio Linda,rio-linda,CA,Sacramento,"Find professional handyman services in Rio Linda, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Rio Linda, CA","Professional handyman services available in Rio Linda, California",2025-01-30 23:33:36.65108+00
19,Rocklin,rocklin,CA,Sacramento,"Find professional handyman services in Rocklin, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Rocklin, CA","Professional handyman services available in Rocklin, California",2025-01-30 23:33:27.615988+00
18,Roseville,roseville,CA,Sacramento,"Find professional handyman services in Roseville, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Roseville, CA","Professional handyman services available in Roseville, California",2025-01-30 23:33:27.324474+00
1,Sacramento,sacramento,CA,Sacramento County,"Sacramento, the capital city of California, is a vibrant metropolitan area known for its diverse neighborhoods, historic Old Sacramento district, and tree-lined streets. As a rapidly growing city, Sacramento homeowners value professional handyman services to maintain their properties and enhance their living spaces.",524943,"{""lat"": 38.5816, ""lng"": -121.4944}","Professional Handyman Services in Sacramento, CA | Expert Home Repairs","Trusted handyman services in Sacramento. From repairs to installations, our experienced team provides quality workmanship for all your home maintenance needs.",2025-01-30 21:00:30.52514+00
27,Shingle Springs,shingle-springs,CA,Sacramento,"Find professional handyman services in Shingle Springs, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Shingle Springs, CA","Professional handyman services available in Shingle Springs, California",2025-01-30 23:33:30.032701+00
24,South Lake Tahoe,south-lake-tahoe,CA,Sacramento,"Find professional handyman services in South Lake Tahoe, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in South Lake Tahoe, CA","Professional handyman services available in South Lake Tahoe, California",2025-01-30 23:33:29.105141+00
41,Truckee,truckee,CA,Sacramento,"Find professional handyman services in Truckee, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Truckee, CA","Professional handyman services available in Truckee, California",2025-01-30 23:33:34.288433+00
53,Vineyard,vineyard,CA,Sacramento,"Find professional handyman services in Vineyard, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Vineyard, CA","Professional handyman services available in Vineyard, California",2025-01-30 23:33:37.79941+00
65,Walnut Grove,walnut-grove,CA,Sacramento,"Find professional handyman services in Walnut Grove, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Walnut Grove, CA","Professional handyman services available in Walnut Grove, California",2025-01-30 23:33:41.537719+00
33,West Sacramento,west-sacramento,CA,Sacramento,"Find professional handyman services in West Sacramento, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in West Sacramento, CA","Professional handyman services available in West Sacramento, California",2025-01-30 23:33:31.855473+00
42,Wheatland,wheatland,CA,Sacramento,"Find professional handyman services in Wheatland, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Wheatland, CA","Professional handyman services available in Wheatland, California",2025-01-30 23:33:34.584159+00
57,Wilton,wilton,CA,Sacramento,"Find professional handyman services in Wilton, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Wilton, CA","Professional handyman services available in Wilton, California",2025-01-30 23:33:39.035411+00
43,Winters,winters,CA,Sacramento,"Find professional handyman services in Winters, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Winters, CA","Professional handyman services available in Winters, California",2025-01-30 23:33:34.869432+00
34,Woodland,woodland,CA,Sacramento,"Find professional handyman services in Woodland, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Woodland, CA","Professional handyman services available in Woodland, California",2025-01-30 23:33:32.155549+00
35,Yuba City,yuba-city,CA,Sacramento,"Find professional handyman services in Yuba City, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Yuba City, CA","Professional handyman services available in Yuba City, California",2025-01-30 23:33:32.456126+00
